PostalCode,Province,District,SubDistrict,AddressCode
10200,กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,100101
10200,กรุงเทพมหานคร,พระนคร,วังบูรพาภิรมย์,100102
10200,กรุงเทพมหานคร,พระนคร,วัดราชบพิธ,100103
10200,กรุงเทพมหานคร,พระนคร,สำราญราษฎร์,100104
10200,กรุงเทพมหานคร,พระนคร,ศาลเจ้าพ่อเสือ,100105
10200,กรุงเทพมหานคร,พระนคร,เสาชิงช้า,100106
10200,กรุงเทพมหานคร,พระนคร,บวรนิเวศ,100107
10200,กรุงเทพมหานคร,พระนคร,ตลาดยอด,100108
10200,กรุงเทพมหานคร,พระนคร,ชนะสงคราม,100109
10200,กรุงเทพมหานคร,พระนคร,บ้านพานถม,100110
10200,กรุงเทพมหานคร,พระนคร,บางขุนพรหม,100111
10200,กรุงเทพมหานคร,พระนคร,วัดสามพระยา,100112
10300,กรุงเทพมหานคร,ดุสิต,ดุสิต,100201
10300,กรุงเทพมหานคร,ดุสิต,วชิรพยาบาล,100202
10300,กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,100203
10300,กรุงเทพมหานคร,ดุสิต,สี่แยกมหานาค,100204
10300,กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,100206
10530,กรุงเทพมหานคร,หนองจอก,กระทุ่มราย,100301
10530,กรุงเทพมหานคร,หนองจอก,หนองจอก,100302
10530,กรุงเทพมหานคร,หนองจอก,คลองสิบ,100303
10530,กรุงเทพมหานคร,หนองจอก,คลองสิบสอง,100304
10530,กรุงเทพมหานคร,หนองจอก,โคกแฝด,100305
10530,กรุงเทพมหานคร,หนองจอก,คู้ฝั่งเหนือ,100306
10530,กรุงเทพมหานคร,หนองจอก,ลำผักชี,100307
10530,กรุงเทพมหานคร,หนองจอก,ลำต้อยติ่ง,100308
10500,กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม,100401
10500,กรุงเทพมหานคร,บางรัก,สีลม,100402
10500,กรุงเทพมหานคร,บางรัก,สุริยวงศ์,100403
10500,กรุงเทพมหานคร,บางรัก,บางรัก,100404
10500,กรุงเทพมหานคร,บางรัก,สี่พระยา,100405
10220,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,100502
10220,กรุงเทพมหานคร,บางเขน,ท่าแร้ง,100508
10240,กรุงเทพมหานคร,บางกะปิ,คลองจั่น,100601
10240,กรุงเทพมหานคร,บางกะปิ,หัวหมาก,100608
10330,กรุงเทพมหานคร,ปทุมวัน,รองเมือง,100701
10330,กรุงเทพมหานคร,ปทุมวัน,วังใหม่,100702
10330,กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,100703
10330,กรุงเทพมหานคร,ปทุมวัน,ลุมพินี,100704
10100,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,100801
10100,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,100802
10100,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,คลองมหานาค,100803
10100,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,บ้านบาตร,100804
10100,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดโสมนัส,100805
10260,กรุงเทพมหานคร,พระโขนง,บางจาก,100905
10260,กรุงเทพมหานคร,พระโขนง,พระโขนงใต้,100910
10510,กรุงเทพมหานคร,มีนบุรี,มีนบุรี,101001
10510,กรุงเทพมหานคร,มีนบุรี,แสนแสบ,101002
10520,กรุงเทพมหานคร,ลาดกระบัง,ลาดกระบัง,101101
10520,กรุงเทพมหานคร,ลาดกระบัง,คลองสองต้นนุ่น,101102
10520,กรุงเทพมหานคร,ลาดกระบัง,คลองสามประเวศ,101103
10520,กรุงเทพมหานคร,ลาดกระบัง,ลำปลาทิว,101104
10520,กรุงเทพมหานคร,ลาดกระบัง,ทับยาว,101105
10520,กรุงเทพมหานคร,ลาดกระบัง,ขุมทอง,101106
10120,กรุงเทพมหานคร,ยานนาวา,ช่องนนทรี,101203
10120,กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,101204
